,label,comment,label doc,comment doc,comment not empty
http://ns.inria.fr/ast/sql#Mult,Multiplication,,multiplication ,,False
http://ns.inria.fr/ast/sql#InsertStatement,Insert Statement,,insert statement ,,False
http://ns.inria.fr/ast/sql#Now,Now,,,,False
http://ns.inria.fr/ast/sql#Count,Count,,count ,,False
http://ns.inria.fr/ast/sql#IsNull,Is Null predicate,,null predicate ,,False
http://ns.inria.fr/ast/sql#TransactionManagementStatement,Transaction Management Statement,,transaction management statement ,,False
http://ns.inria.fr/ast/sql#UserIdentifier,User Identifier,,user identifier ,,False
http://ns.inria.fr/ast/sql#DropStatement,Drop Statement,,drop statement ,,False
http://ns.inria.fr/ast/sql#JoinPredicate,Join Predicate,,join predicate ,,False
http://ns.inria.fr/ast/sql#Index,Relational Index,,relational index ,,False
http://ns.inria.fr/ast/sql#Plus,Addition,,addition ,,False
http://ns.inria.fr/ast/sql#IOStatement,Import / Export Statement,,import export statement ,,False
http://ns.inria.fr/ast/sql#Operator,Operator,,operator ,,False
http://ns.inria.fr/ast/sql#CallStatement,Call Statement,,call statement ,,False
http://ns.inria.fr/ast/sql#FunctionExpression,Function Expression,,function expression ,,False
http://ns.inria.fr/ast/sql#UnionAll,Union All,,union ,,False
http://ns.inria.fr/ast/sql#Avg,Average,,average ,,False
http://ns.inria.fr/ast/sql#Except,Exclusion,,exclusion ,,False
http://ns.inria.fr/ast/sql#DateTimeFunction,Date Time Computation Function,,date time computation function ,,False
http://ns.inria.fr/ast/sql#ScalarFunction,Scalar Function,,scalar function ,,False
http://ns.inria.fr/ast/sql#LockTableStatement,Lock Table Statement,,lock table statement ,,False
http://ns.inria.fr/ast/sql#Or,Logical Disjunction,,logical disjunction ,,False
http://ns.inria.fr/ast/sql#Max,Maximum,,maximum ,,False
http://ns.inria.fr/ast/sql#Schema,Relational Schema,,relational schema ,,False
http://ns.inria.fr/ast/sql#LessThan,Less than comparison,,less comparison ,,False
http://ns.inria.fr/ast/sql#Negate,Negation,,negation ,,False
http://ns.inria.fr/ast/sql#RollbackStatement,Rollback Statement,,rollback statement ,,False
http://ns.inria.fr/ast/sql#ProceduralStatement,Procedural Statement,,procedural statement ,,False
http://ns.inria.fr/ast/sql#InnerJoin,Inner Join Predicate,,inner join predicate ,,False
http://ns.inria.fr/ast/sql#Div,Division,,division ,,False
http://ns.inria.fr/ast/sql#And,Logical Conjunction,,logical conjunction ,,False
http://ns.inria.fr/ast/sql#ConnectStatement,Connect Statement,,connect statement ,,False
http://ns.inria.fr/ast/sql#Role,Relational Role,,relational role ,,False
http://ns.inria.fr/ast/sql#NumberFunction,Number Function,,number function ,,False
http://ns.inria.fr/emoca#Valence,Valence,,valence ,,False
http://ns.inria.fr/emoca#Surprise,Surprise,,surprise ,,False
http://ns.inria.fr/emoca#Fear,Fear,,fear ,,False
http://ns.inria.fr/emoca#Stimulus,Stimulus,,stimulus ,,False
http://ns.inria.fr/emoca#Radius,Radius,,radius ,,False
http://ns.inria.fr/emoca#Impact,Impact,,impact ,,False
http://ns.inria.fr/emoca#Joy,Joy,,joy ,,False
http://xmlns.com/foaf/0.1/Person,Person,,person ,,False
http://ns.inria.fr/emoca#Person,Person,,person ,,False
http://ns.inria.fr/emoca#Arousal,Arousal,,arousal ,,False
